PC1,PC2,risk_level
<<<<<<< HEAD
-0.5010864693741903,-0.36353627307191533,Low
-0.4893228103106483,-0.378989949988696,Low
0.16035687203893056,0.39288110463098513,Low
0.43144727543675176,0.056293603505768564,Low
0.0840930149401366,0.45929489937092927,Low
-0.6017646845214316,-0.3239401273315127,Low
-0.07206010681279329,-0.7737294932113862,Low
-0.5056892463409193,-0.3897951821041499,Low
-0.6513093939310771,-0.2685976198232132,Low
-0.5834280996517598,-0.35503622313184646,Low
0.17437520931111739,0.41309424967045316,Medium
2.1824652707940455,-0.9950172738979244,High
0.031114011041749268,0.460773957983868,Low
-0.5748861548504405,-0.26854411843657133,Low
-0.539234728595521,-0.3247848259447693,Medium
-0.6303634518315049,-0.331710563723041,Low
-0.5499723253836493,-0.34818851777796417,Low
-0.5250211927556563,-0.3786913294452361,Low
0.06240662158885646,0.4697345888273251,Low
-0.6063767360227438,-0.28345407691879954,Low
0.2576976473143092,0.3299672999852538,Medium
-0.5933260086030685,-0.33332234870957744,Low
0.29702609339732067,0.3236961083612774,High
1.7075214951834028,-0.6893106811610291,High
0.1250467132838674,0.4399112580169058,Low
-0.5282974312219908,-0.3733243779363058,Low
1.4948584806192196,-0.6224612926624371,High
0.382871466823104,0.3061737060648259,High
0.0473684215038358,0.4708714234653554,Low
-0.5434698864470746,-0.3369636429126341,Low
0.014113826279092467,0.5037409034490966,Low
-0.1443964791709863,-0.7695137348082067,Low
1.9372129027025682,-0.8249138913700698,High
-0.0852347744011111,0.5401655716519351,Low
0.398550655352122,0.3051914798335705,Medium
-0.5308989176523383,-0.3374215930172758,Low
0.2806881859424114,0.33770549380429166,High
1.7984317765179128,-0.8436044923080774,High
0.05547443880649272,0.4942301786918907,Low
0.20811651615621574,0.38284453702367693,Low
0.05327771277797855,0.4604357016020191,Low
-0.524500657676511,-0.3651499289587213,Low
-0.4953373306410896,-0.3649509606224598,Low
2.182534094724244,-0.963638225761832,High
-0.06262184700980356,0.5370814334822114,Low
0.15421281460861502,0.4392412708402994,Low
-0.5887043375988414,-0.31546940622698255,Low
0.12961308575568753,0.40337153164684636,Low
0.17077032148034865,0.40633218858295184,Low
-0.7107727135289512,-0.21168173433486848,Low
-0.5273022866349543,-0.3611361862966642,Medium
0.023708356670353425,0.4963380638621283,Low
-0.029703429979050677,0.5039915091646866,Low
0.037713885582253526,0.4657513841923263,Low
-0.5721759305432965,-0.3658440092462446,Low
0.3410239756063984,0.3100666790842283,High
-0.0599863680281868,0.5300494240409266,Low
0.01442872599071765,0.4706110252502965,Low
0.0821100590938017,0.4311867182007928,Low
-0.3022386443296367,-0.487202302675415,High
-0.4996763564624633,-0.3687974508305353,Medium
-0.4949469862670458,-0.384743989629635,Low
0.060668969088766234,0.46763450299222054,Low
1.612289602583141,-0.5213090911102778,High
-0.5479756580050957,-0.38660928554092955,Medium
-0.4501099276468228,-0.4275907523783541,Low
0.003445476111662793,0.4892458840520494,Low
0.06667768917680639,0.4145578170084029,Low
-0.5933618926828195,-0.3212821933374055,Low
-0.6387309086038935,-0.2899624616776596,Low
-0.5001329037106287,-0.395943445246115,Low
0.47155113894684,0.053494674974670586,Low
0.07037746623379226,0.4399086440602594,Medium
-0.025626835092986078,-0.8243012819764046,Low
-0.6936666227486027,-0.2143550572968884,Low
0.14764364729232138,0.42245071390344746,Low
0.08112530854737993,0.4621594315453854,Low
-0.5383591699460083,-0.3399055301316927,Low
-0.5375072610088529,-0.3535532794334304,Medium
0.08853716981110549,0.4931926673454682,Low
1.1331230047551804,-0.39252300867297235,Medium
-0.007248672212806784,0.4856282305879204,Low
0.1306907787404029,0.40104681547981613,Low
0.014564655983339336,0.491960261545373,Low
0.1448110756193498,0.4399909364452905,Low
-0.02045634666152596,0.5113142907416703,Low
0.12415835179286816,0.4422427997906234,Low
0.009664957238598948,0.4646925560173847,Low
-0.44658755495151026,-0.3817522757801343,Medium
0.32192487397780356,0.30882383727676327,High
1.7984429933383084,-0.8612668057613959,High
0.05246065024401364,0.45128353407179367,Low
0.32795634924341965,0.3400517231279534,Medium
0.26495115965656724,0.38981539901077766,Medium
1.6921827384000998,-0.6660569922851002,High
0.204110799753478,0.443827737689212,Medium
0.09605132712885167,0.4238757884851764,Low
0.2656798757313541,0.3453037999848544,High
0.024937183483293546,0.4694692233556351,Low
0.3108405515181272,0.36244658074195446,Medium
-0.5350778702395249,-0.3544951093164163,Low
0.027736483491360042,0.5052813565079077,Low
0.01658109771515509,0.49402551386784666,Low
-0.6129852739157338,-0.3247364263898498,Low
-0.5883275985012915,-0.3056406307299993,Low
0.23442392635261244,0.36981229014100137,Medium
0.43365588554545365,0.05915789267149313,Low
-0.007317976698514084,0.4857512691077147,Low
0.0961309464421728,0.4576999167776268,Low
0.05788931891105592,0.4581422005810575,Low
-0.04203594738347505,0.5371922394673921,Low
-0.5442480100558967,-0.35861496643137936,Low
0.07459770700511409,0.4423129316804778,Low
0.45374112084477547,0.016600630271604133,Low
0.6134871205878833,0.1141860222982552,High
-0.62650991050726,-0.3252743047595462,Low
-0.5429749989898109,-0.35061946570012764,Low
0.1858263319233069,0.41178268124925643,Medium
-0.5792791518268852,-0.33854494545817043,Low
0.3389385681045822,0.32617572288447627,Medium
0.3511548427787019,0.31233356427402204,Medium
-0.6395895677726499,-0.26100140323674975,Low
0.11438662283998635,0.3944480358988026,Low
1.9316241721901755,-0.8227869655726322,High
-0.6032579799708973,-0.32344750043440196,Low
0.5963103372384835,-0.012360216179624295,Low
0.01861240060015512,0.48971944440450677,Medium
0.1968377049785538,0.4165623464913667,Low
-0.5718065243555466,-0.3197789344236678,Low
-0.5878949017550131,-0.32189740244938414,Low
0.17123227226841442,0.44909056270270775,Low
-0.5974806069272408,-0.31484904367730154,Medium
-0.03549388173388279,-0.6534798672294708,High
-0.5513466062811139,-0.35735507643012293,Medium
0.00705537778909493,0.5051331948787383,Low
0.4772413608019551,0.04115678486041402,Low
-0.05151792633224872,0.5322845859474871,Low
-0.5165691415743988,-0.3679866646212897,Low
0.28922202357633964,0.3348060812394692,High
-0.01920433418281592,0.525007763142502,Low
0.22399841477568527,0.3587697619130882,Medium
0.30396574933067233,0.3304815437669298,Medium
-0.0920870215322992,0.5520277597667033,Low
-0.5414728410611958,-0.3708504614681081,Low
1.2349857274353957,-0.2959809210847237,High
0.034681337173689486,0.434402063875883,Low
0.05321832355883738,0.4738795269904291,Low
-0.04143926227515943,0.5224256631713112,Low
1.3253166336866442,-0.46123630397207344,High
0.5371745163419177,0.13737157819104467,High
0.1077771154841054,0.42873568700909037,Low
-0.5368753636500798,-0.34924605564734224,Low
-0.6126452421153397,-0.28918125282501234,Low
0.17388395543446522,0.38511702948378723,Medium
2.1505632720722385,-0.9748845016604396,High
0.00691648621597285,0.4941924582470767,Low
1.5958864999887947,-0.6679299275993874,High
-0.5965972364970148,-0.31817331602036947,Low
0.1624062252420615,0.4304317831618024,Low
0.11063660303838663,0.4156003214793408,Low
1.284826772695934,-0.35253975389526154,High
-0.5103284610197164,-0.37770336866931564,Low
-0.34411299178279553,-0.4528417900648851,Medium
-0.670346291556055,-0.25378808617555937,Low
0.04115120792218807,0.43278934474876973,Low
0.11869175975253221,0.41061645464745045,Medium
