PC1,PC2,PC3,risk_level
-0.5010864693741903,-0.36353627307191533,-0.05593749828470171,Low
-0.4893228103106483,-0.378989949988696,-0.16049217561754603,Low
0.16035687203893056,0.39288110463098513,-0.004278181786118107,Low
0.43144727543675176,0.056293603505768564,0.8689214558923519,Low
0.0840930149401366,0.45929489937092927,0.027982420860352075,Low
-0.6017646845214316,-0.3239401273315127,-0.0007398628183494238,Low
-0.07206010681279329,-0.7737294932113862,0.6714912854860204,Low
-0.5056892463409193,-0.3897951821041499,-0.04418625024603226,Low
-0.6513093939310771,-0.2685976198232132,0.029682234308901656,Low
-0.5834280996517598,-0.35503622313184646,0.0677585203390304,Low
0.17437520931111739,0.41309424967045316,-0.18248116075744292,Medium
2.1824652707940455,-0.9950172738979244,-0.28816013622729164,High
0.031114011041749268,0.460773957983868,0.07582246196151204,Low
-0.5748861548504405,-0.26854411843657133,-0.14807717307521,Low
-0.539234728595521,-0.3247848259447693,-0.24487973609918762,Medium
-0.6303634518315049,-0.331710563723041,-0.05932523556818925,Low
-0.5499723253836493,-0.34818851777796417,-0.20492264938544819,Low
-0.5250211927556563,-0.3786913294452361,-0.0365144914330911,Low
0.06240662158885646,0.4697345888273251,-0.10653484785918987,Low
-0.6063767360227438,-0.28345407691879954,-0.11934296858395527,Low
0.2576976473143092,0.3299672999852538,-0.00816411089889818,Medium
-0.5933260086030685,-0.33332234870957744,-0.06323356708214758,Low
0.29702609339732067,0.3236961083612774,-0.2517894771961946,High
1.7075214951834028,-0.6893106811610291,0.02106466491871628,High
0.1250467132838674,0.4399112580169058,-0.07659655982152908,Low
-0.5282974312219908,-0.3733243779363058,-0.0032423496700919596,Low
1.4948584806192196,-0.6224612926624371,0.19706325902603528,High
0.382871466823104,0.3061737060648259,-0.2576049111709628,High
0.0473684215038358,0.4708714234653554,0.06405877299634355,Low
-0.5434698864470746,-0.3369636429126341,-0.06962392731798403,Low
0.014113826279092467,0.5037409034490966,0.04886997180286656,Low
-0.1443964791709863,-0.7695137348082067,0.7693457400092696,Low
1.9372129027025682,-0.8249138913700698,-0.3834946291143553,High
-0.0852347744011111,0.5401655716519351,0.10645095176548613,Low
0.398550655352122,0.3051914798335705,-0.14822788511568766,Medium
-0.5308989176523383,-0.3374215930172758,-0.24162845538129463,Low
0.2806881859424114,0.33770549380429166,-0.19155680116356308,High
1.7984317765179128,-0.8436044923080774,-0.09892964895375739,High
0.05547443880649272,0.4942301786918907,-0.10541532249874253,Low
0.20811651615621574,0.38284453702367693,-0.006518214048947757,Low
0.05327771277797855,0.4604357016020191,0.14346077364573961,Low
-0.524500657676511,-0.3651499289587213,-0.06996923476552158,Low
-0.4953373306410896,-0.3649509606224598,-0.12322616085676238,Low
2.182534094724244,-0.963638225761832,-0.3468411157509095,High
-0.06262184700980356,0.5370814334822114,-0.010446218401251095,Low
0.15421281460861502,0.4392412708402994,-0.025813667742043966,Low
-0.5887043375988414,-0.31546940622698255,-0.09147184359610472,Low
0.12961308575568753,0.40337153164684636,0.06004867513408907,Low
0.17077032148034865,0.40633218858295184,-0.021989367201002752,Low
-0.7107727135289512,-0.21168173433486848,-0.06031802197710845,Low
-0.5273022866349543,-0.3611361862966642,-0.005343281265630773,Medium
0.023708356670353425,0.4963380638621283,0.015493882590652375,Low
-0.029703429979050677,0.5039915091646866,0.06254467630220217,Low
0.037713885582253526,0.4657513841923263,0.14754281822197268,Low
-0.5721759305432965,-0.3658440092462446,0.09204470634007078,Low
0.3410239756063984,0.3100666790842283,-0.15031673259234457,High
-0.0599863680281868,0.5300494240409266,0.10252288743714433,Low
0.01442872599071765,0.4706110252502965,0.08520820089399528,Low
0.0821100590938017,0.4311867182007928,0.043918207850317414,Low
-0.3022386443296367,-0.487202302675415,-0.27656868697818887,High
-0.4996763564624633,-0.3687974508305353,-0.19603319350476725,Medium
-0.4949469862670458,-0.384743989629635,-0.14739070412776512,Low
0.060668969088766234,0.46763450299222054,-0.10838259062476804,Low
1.612289602583141,-0.5213090911102778,-1.0748418961171744,High
-0.5479756580050957,-0.38660928554092955,0.036237500747154705,Medium
-0.4501099276468228,-0.4275907523783541,-0.00218629489604788,Low
0.003445476111662793,0.4892458840520494,0.10943954726710192,Low
0.06667768917680639,0.4145578170084029,0.14880765394016315,Low
-0.5933618926828195,-0.3212821933374055,0.05187521185336463,Low
-0.6387309086038935,-0.2899624616776596,-0.019184438946883653,Low
-0.5001329037106287,-0.395943445246115,-0.05606577439589591,Low
0.47155113894684,0.053494674974670586,0.8703877589224376,Low
0.07037746623379226,0.4399086440602594,0.04668213712298552,Medium
-0.025626835092986078,-0.8243012819764046,0.6428625074588135,Low
-0.6936666227486027,-0.2143550572968884,-0.10240229846000568,Low
0.14764364729232138,0.42245071390344746,0.1270678633963962,Low
0.08112530854737993,0.4621594315453854,0.0640751068294294,Low
-0.5383591699460083,-0.3399055301316927,-0.0930215811547978,Low
